"Source:"	"C:\Users\vtroc\Desktop\BusPirate-temp\BusPirate-5-rev8_20230911c\BusPirate-5-rev8.sch"
"Date:"	"12 Sep 2023 5:06:30 pm"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"203"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"D601"	"1N4148WS"	"Diode:1N4148WS"	"Diode_SMD:D_SOD-323"	"75V 0.15A Fast switching Diode, SOD-323"	""
"D602"	"1N4148WS"	"Diode:1N4148WS"	"Diode_SMD:D_SOD-323"	"75V 0.15A Fast switching Diode, SOD-323"	""
"D603"	"1N4148WS"	"Diode:1N4148WS"	"Diode_SMD:D_SOD-323"	"75V 0.15A Fast switching Diode, SOD-323"	""
"FID1"	"Fiducial"	"Mechanical:Fiducial"	"Fiducial:Fiducial_1mm_Mask2mm"	"Fiducial Marker"	""
"FID2"	"Fiducial"	"Mechanical:Fiducial"	"Fiducial:Fiducial_1mm_Mask2mm"	"Fiducial Marker"	""
"FID3"	"Fiducial"	"Mechanical:Fiducial"	"Fiducial:Fiducial_1mm_Mask2mm"	"Fiducial Marker"	""
"FID4"	"Fiducial"	"Mechanical:Fiducial"	"Fiducial:Fiducial_1mm_Mask2mm"	"Fiducial Marker"	""
"FID5"	"Fiducial"	"Mechanical:Fiducial"	"Fiducial:Fiducial_1mm_Mask2mm"	"Fiducial Marker"	""
"H1"	"MountingHole"	"Mechanical:MountingHole"	"MountingHole:MountingHole_3.2mm_M3"	"Mounting Hole without connection"	""
"H2"	"MountingHole"	"Mechanical:MountingHole"	"MountingHole:MountingHole_3.2mm_M3"	"Mounting Hole without connection"	""
