"Source:","C:\BP5hw\bus_pirate_pcb\development\7-REV2-vout-protection\7-REV2-vout-protection.kicad_sch"
"Date:","2025-07-04T16:16:52+0200"
"Tool:","Eeschema 9.0.1"
"Generator:","C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","264"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Datasheet","Description","Description_1","Field4","Field5","Field6","Footprint","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","RMB","STANDARD","Sim.Device","Sim.Pins","SnapEDA_Link","Supplier","USD","szlcsc_partnumber","szlcsc_url"
"36","1","R23","3.3k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","","","","","","","","",""
"37","2","R33, R37","18k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","","","","","","","","",""
"38","1","R39","180k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.005622","","","","","https://item.szlcsc.com/107450.html","","",""
"39","1","R40","10K","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","","","","","","","","",""
"40","2","R41, R43","5.1K","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","","","","","","","","",""
"41","1","R42","100k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","","","","","","","","",""
"42","2","R201, R204","5.1K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.0065","","","","","https://item.szlcsc.com/107087.html","","C25905","https://item.szlcsc.com/26648.html?fromZone=s_s__%25225.1K%25200402%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"43","1","R209","33R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0805_2012Metric","","","","","","","","0.019315","","","","","https://item.szlcsc.com/139271.html","","C17634","https://item.szlcsc.com/18322.html?fromZone=s_s__%252233R%25200805%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"44","1","R403","102K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.005944","","","","","https://item.szlcsc.com/174835.html","","C26991","https://item.szlcsc.com/27740.html?fromZone=s_s__%2522102K%25200402%2522&spm=sc.gb.xh3.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"45","1","R404","133K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.005749","","","","","https://item.szlcsc.com/61543.html","","C25753","https://item.szlcsc.com/26496.html?fromZone=s_s__%2522133K%25200402%2522&spm=sc.gb.xh4.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
